Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Segmen;Quarter;Total Peserta;Durasi /Jam;Govt;nonGovt
2021;"GTP";"Improving Productivity In Higher Education with Office 365 ";2020-12-08 00:00:00,000;"08/12/2020";"HigherEd";"Q2";"27";3;27;0
2021;"M365";"Microsoft 365 Administration Workshop ";2020-10-27 00:00:00,000;"27/10/2020";"K-12";"Q2";"3";3;3;0
2021;"M365";"Microsoft Teams Administration Workshop";2020-11-05 00:00:00,000;"05/11/2020";"K-12";"Q2";"5";3;5;0
2021;"M365";"Microsoft 365 Identity with Azure Active Directory ";2020-11-09 00:00:00,000;"09/11/2020";"K-12";"Q2";"5";3;5;0
2021;"M365";"Global Microsoft 365 Developer Bootcamp 2020 ";2020-10-08 00:00:00,000;"08/10/2020";"K-12";"Q2";"58";3;15;43
2021;"MAU";"Power BI Capabilities and Features ";2020-10-22 00:00:00,000;"22/10/2020";"HigherEd&K-12";"Q2";"1";1;1;0
2021;"MAU";"Lightweight Directory Access Protocol ";2020-10-27 00:00:00,000;"27/10/2020";"HigherEd&K-12";"Q2";"5";1;5;0
2021;"MAU";"UI Discussion: Workshop Plan ";2020-10-27 00:00:00,000;"27/10/2020";"HigherEd&K-12";"Q2";"5";1;5;0
2021;"MAU";"UNPAD Discussion Series: SSO and Azure AD";2020-11-13 00:00:00,000;"13/11/2020";"HigherEd&K-12";"Q2";"3";1;3;0
2021;"GTP";"Creating An App Solution for Higher Ed Institution with Power Platforms ";2021-03-04 00:00:00,000;"04/03/2021";"HigherEd";"Q3";"65";3;65;0
2021;"GTP";"Office 365 for Research ";2021-03-04 00:00:00,000;"04/03/2021";"HigherEd";"Q3";"53";3;53;0
2021;"GTP";"Tracking The Successful of Learning in Higher Ed with Power BI";2021-03-05 00:00:00,000;"05/03/2021";"HigherEd";"Q3";"259";3;259;0
2021;"GTP";"Creating A Teaching and Learning Scheduling Application in Higher Ed using Power Apps ";2021-03-12 00:00:00,000;"12/03/2021";"HigherEd";"Q3";"261";3;261;0
2021;"GTP";"UT Series 1: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";2021-04-20 00:00:00,000;"20/04/2021";"HigherEd";"Q4";"439";3;439;0
2021;"GTP";"UT Series 2: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";2021-04-23 00:00:00,000;"23/04/2021";"HigherEd";"Q4";"114";3;114;0
2021;"GTP";"UI Series: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";2021-04-30 00:00:00,000;"30/04/2021";"HigherEd";"Q4";"30";3;30;0
2021;"GTP";"ITB Series: Komunikasi dan Kolaborasi Modern dalam Proyek Penelitian dengan Microsoft Teams ";2021-05-05 00:00:00,000;"05/05/2021";"HigherEd";"Q4";"13";3;13;0
2021;"MicroCredentials";"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Indonesia ";2021-03-29 00:00:00,000;"29/03/2021";"HigherEd";"Q3";"31";2;31;0
2021;"MicroCredentials";"ToT Micro-Credentials Offers for Merdeka Belajar: Universitas Gadjah Mada ";2021-03-30 00:00:00,000;"30/03/2021";"HigherEd";"Q3";"13";2;13;0
2021;"MicroCredentials";"ToT Micro-Credentials Offers for Merdeka Belajar: Institut Teknologi Sepuluh Nopember";2021-03-31 00:00:00,000;"31/03/2021";"HigherEd";"Q3";"8";2;8;0
2021;"ShowcaseSchool";"Showcase Schools – Session 1: SMP N 13 Sinjai ";2021-04-20 00:00:00,000;"20/04/2021";"K-12";"Q4";"24";3;24;0
2021;"ShowcaseSchool";"Showcase Schools – Session 1: SMP N 2 Pangsid";2021-05-25 00:00:00,000;"25/05/2021";"K-12";"Q4";"35";3;35;0
2021;"ShowcaseSchool";"Showcase Schools – Session 2: SMP N 2 Pangsid";2021-06-02 00:00:00,000;"02/06/2021";"K-12";"Q4";"15";3;15;0
2021;"ShowcaseSchool";"Showcase Schools – Session 2: SMP N 13 Sinjai ";2021-06-09 00:00:00,000;"09/06/2021";"K-12";"Q4";"20";3;20;0
2021;"ShowcaseSchool";"Showcase Schools – Session 1: SMA N 1 Banguntapan ";2021-06-08 00:00:00,000;"08/06/2021";"K-12";"Q4";"34";3;34;0
2021;"ShowcaseSchool";"Showcase Schools – Session 2: SMA N 1 Banguntapan ";2021-06-09 00:00:00,000;"09/06/2021";"K-12";"Q4";"21";3;21;0
